Recipe Key,recipe_wearable_leather_feet_pilgrim_boj_t4_common
Recipe Name,Pilgrim's Marchers IV
Skill,skill_leatherworking
UnlockAtSkillLevel,20
SkillDifficulty,34
XPMultiplier,4.2
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
20,4%,734,798,862,20,51
21,4%,703,764,826,20,50
22,4%,672,731,789,20,48
23,4%,641,697,753,20,47
24,5%,611,664,717,20,54
25,9%,580,630,680,21,78
26,16%,549,596,644,22,114
27,26%,518,563,608,23,162
28,39%,487,529,572,24,221
29,54%,456,496,535,25,279
30,68%,425,462,499,26,323
31,80%,394,428,463,27,347
32,88%,363,395,426,28,350
33,93%,332,361,390,29,338
34,100%,42,46,50,,46
35,100%,39,42,45,,42
36,100%,35,38,41,,38
37,100%,31,34,37,,34
38,100%,28,30,32,,30
39,100%,24,26,28,,26
40,100%,20,22,24,,22
41,100%,17,18,19,,18
42,100%,13,14,15,,14
43,100%,9,10,11,,10
44+,100%,6,6,6,,6
