Recipe Key,recipe_wearable_leather_head_hunter_moe_t2_rare
Recipe Name,Hunter's Hood of the Marked Prey II
Skill,skill_leatherworking
UnlockAtSkillLevel,0
SkillDifficulty,22
XPMultiplier,6.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1484,1613,1742,20,84
1,4%,1437,1562,1687,20,82
2,4%,1391,1512,1633,20,80
3,4%,1345,1462,1579,20,78
4,4%,1298,1411,1524,20,76
5,4%,1252,1361,1470,20,74
6,4%,1206,1310,1415,20,72
7,4%,1159,1260,1361,20,70
8,4%,1113,1210,1306,21,69
9,4%,1066,1159,1252,22,67
10,4%,1020,1109,1198,23,66
11,4%,974,1058,1143,24,65
12,5%,927,1008,1089,25,78
13,9%,881,958,1034,26,114
14,16%,835,907,980,27,168
15,26%,788,857,925,28,242
16,39%,742,806,871,29,332
17,54%,696,756,816,30,422
18,68%,649,706,762,31,491
19,80%,603,655,708,32,529
20,88%,556,605,653,33,535
21,93%,510,554,599,34,518
22,100%,31,34,37,,34
23,100%,28,30,32,,30
24,100%,24,26,28,,26
25,100%,20,22,24,,22
26,100%,17,18,19,,18
27,100%,13,14,15,,14
28,100%,9,10,11,,10
29,100%,6,6,6,,6
30,100%,2,2,2,,2
31,100%,0,0,0,,0
32+,100%,0,0,0,,0
