Recipe Key,recipe_wearable_leather_head_templar_p_t4_rare
Recipe Name,Vanguard's Cap of Revocation IV
Skill,skill_leatherworking
UnlockAtSkillLevel,0
SkillDifficulty,42
XPMultiplier,14.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,5458,5933,6407,20,257
1,4%,5352,5818,6283,20,252
2,4%,5246,5702,6159,20,247
3,4%,5140,5587,6034,21,244
4,4%,5034,5472,5910,22,240
5,4%,4928,5357,5785,23,236
6,4%,4822,5242,5661,24,233
7,4%,4716,5126,5537,25,229
8,4%,4610,5011,5412,26,225
9,4%,4504,4896,5288,27,222
10,4%,4398,4781,5163,28,218
11,4%,4292,4666,5039,29,214
12,4%,4186,4550,4914,30,211
13,4%,4080,4435,4790,31,207
14,4%,3974,4320,4666,32,204
15,4%,3868,4205,4541,33,200
16,4%,3762,4090,4417,34,196
17,4%,3656,3974,4292,35,193
18,4%,3550,3859,4168,36,189
19,4%,3444,3744,4044,37,185
20,4%,3338,3629,3919,38,182
21,4%,3233,3514,3795,39,178
22,4%,3127,3398,3670,40,174
23,4%,3021,3283,3546,41,171
24,4%,2915,3168,3421,42,167
25,4%,2809,3053,3297,43,163
26,4%,2703,2938,3173,44,160
27,4%,2597,2822,3048,45,156
28,4%,2491,2707,2924,46,152
29,4%,2385,2592,2799,47,149
30,4%,2279,2477,2675,48,145
31,4%,2173,2362,2551,49,142
32,5%,2067,2246,2426,50,168
33,9%,1961,2131,2302,50,246
34,16%,1855,2016,2177,50,364
35,26%,1749,1901,2053,50,528
36,39%,1643,1786,1928,50,726
37,54%,1537,1670,1804,50,924
38,68%,1431,1555,1680,50,1077
39,80%,1325,1440,1555,50,1158
40,88%,1219,1325,1431,50,1170
41,93%,1113,1210,1306,50,1128
42,100%,50,54,58,,54
43,100%,46,50,54,,50
44,100%,42,46,50,,46
45,100%,39,42,45,,42
46,100%,35,38,41,,38
47,100%,31,34,37,,34
48,100%,28,30,32,,30
49,100%,24,26,28,,26
50,100%,20,22,24,,22
51,100%,17,18,19,,18
52+,100%,13,14,15,,14
