Recipe Key,recipe_wearable_leather_head_trickster_sg_t4_common
Recipe Name,Trickster's Coif of the Slosh IV
Skill,skill_leatherworking
UnlockAtSkillLevel,21
SkillDifficulty,36
XPMultiplier,4.2
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
21,4%,765,832,898,20,52
22,4%,734,798,862,20,51
23,4%,703,764,826,20,50
24,4%,672,731,789,20,48
25,4%,641,697,753,20,47
26,5%,611,664,717,21,55
27,9%,580,630,680,22,79
28,16%,549,596,644,23,115
29,26%,518,563,608,24,163
30,39%,487,529,572,25,222
31,54%,456,496,535,26,279
32,68%,425,462,499,27,324
33,80%,394,428,463,28,347
34,88%,363,395,426,29,350
35,93%,332,361,390,30,338
36,100%,44,48,52,,48
37,100%,40,44,48,,44
38,100%,37,40,43,,40
39,100%,33,36,39,,36
40,100%,29,32,35,,32
41,100%,26,28,30,,28
42,100%,22,24,26,,24
43,100%,18,20,22,,20
44,100%,15,16,17,,16
45,100%,11,12,13,,12
46+,100%,7,8,9,,8
