Recipe Key,recipe_wearable_leather_legs_hunter_tn_t3_uncommon
Recipe Name,Hunter's Trousers of Binding Roots III
Skill,skill_leatherworking
UnlockAtSkillLevel,13
SkillDifficulty,26
XPMultiplier,3.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
13,4%,636,692,747,20,47
14,4%,608,661,714,20,46
15,4%,580,631,681,20,44
16,5%,552,600,648,20,51
17,9%,524,570,616,20,72
18,16%,496,540,583,21,104
19,26%,468,509,550,22,148
20,39%,440,479,517,23,201
21,54%,413,448,484,24,253
22,68%,385,418,451,25,293
23,80%,357,388,419,26,314
24,88%,329,357,386,27,317
25,93%,301,327,353,28,306
26,100%,35,38,41,,38
27,100%,31,34,37,,34
28,100%,28,30,32,,30
29,100%,24,26,28,,26
30,100%,20,22,24,,22
31,100%,17,18,19,,18
32,100%,13,14,15,,14
33,100%,9,10,11,,10
34,100%,6,6,6,,6
35,100%,2,2,2,,2
36+,100%,0,0,0,,0
