Recipe Key,recipe_wearable_leather_legs_pilgrim_bob_t4_common
Recipe Name,Pilgrim's Pants IV
Skill,skill_leatherworking
UnlockAtSkillLevel,18
SkillDifficulty,32
XPMultiplier,3.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
18,4%,647,703,759,20,47
19,4%,620,673,727,20,46
20,4%,592,644,695,20,45
21,4%,565,614,663,20,44
22,5%,538,585,631,20,50
23,9%,511,555,599,21,71
24,16%,483,525,567,22,102
25,26%,456,496,535,23,145
26,39%,429,466,503,24,196
27,54%,402,437,472,25,247
28,68%,374,407,440,26,286
29,80%,347,377,408,27,306
30,88%,320,348,376,28,309
31,93%,293,318,344,29,298
32,100%,40,44,48,,44
33,100%,37,40,43,,40
34,100%,33,36,39,,36
35,100%,29,32,35,,32
36,100%,26,28,30,,28
37,100%,22,24,26,,24
38,100%,18,20,22,,20
39,100%,15,16,17,,16
40,100%,11,12,13,,12
41,100%,7,8,9,,8
42+,100%,4,4,4,,4
