Recipe Key,recipe_crafter_tailoring_workbench_2
Recipe Name,Tailoring Table
Skill,skill_tailoring
UnlockAtSkillLevel,0
SkillDifficulty,21
XPMultiplier,2.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,525,570,616,20,42
1,4%,508,552,596,20,41
2,4%,491,534,576,20,41
3,4%,474,515,556,20,40
4,4%,457,497,537,20,39
5,4%,440,478,517,20,38
6,4%,423,460,497,20,38
7,4%,406,442,477,20,37
8,4%,389,423,457,21,37
9,4%,372,405,437,22,37
10,4%,355,386,417,23,38
11,5%,339,368,397,24,42
12,9%,322,350,378,25,55
13,16%,305,331,358,26,75
14,26%,288,313,338,27,101
15,39%,271,294,318,28,132
16,54%,254,276,298,29,162
17,68%,237,258,278,30,185
18,80%,220,239,258,31,197
19,88%,203,221,238,32,198
20,93%,186,202,219,33,190
21,100%,30,33,36,,33
22,100%,27,29,31,,29
23,100%,23,25,27,,25
24,100%,19,21,23,,21
25,100%,16,17,18,,17
26,100%,12,13,14,,13
27,100%,8,9,10,,9
28,100%,5,5,5,,5
29,100%,1,1,1,,1
30,100%,0,0,0,,0
31+,100%,0,0,0,,0
