Recipe Key,recipe_item_material_horn_pins_and_needles
Recipe Name,Horn Needles
Skill,skill_tailoring
UnlockAtSkillLevel,9
SkillDifficulty,21
XPMultiplier,2.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
9,4%,471,512,553,35,54
10,4%,449,488,527,36,54
11,5%,427,464,501,37,60
12,9%,405,440,475,38,76
13,16%,383,416,449,39,99
14,26%,361,392,423,40,131
15,39%,339,368,397,41,168
16,54%,316,344,372,42,205
17,68%,294,320,346,43,232
18,80%,272,296,320,44,245
19,88%,250,272,294,45,244
20,93%,228,248,268,46,234
21,100%,33,36,39,,36
22,100%,30,33,36,,33
23,100%,28,30,32,,30
24,100%,25,27,29,,27
25,100%,22,24,26,,24
26,100%,19,21,23,,21
27,100%,17,18,19,,18
28,100%,14,15,16,,15
29,100%,11,12,13,,12
30,100%,8,9,10,,9
31+,100%,6,6,6,,6
