Recipe Key,recipe_item_material_thread_gold
Recipe Name,Aurum Thread
Skill,skill_tailoring
UnlockAtSkillLevel,15
SkillDifficulty,29
XPMultiplier,2.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
15,4%,742,806,871,38,69
16,4%,710,771,833,39,68
17,4%,678,737,796,40,68
18,4%,646,702,758,41,67
19,5%,614,667,720,42,75
20,9%,582,632,683,43,98
21,16%,550,597,645,44,132
22,26%,518,563,608,45,179
23,39%,486,528,570,46,234
24,54%,454,493,532,47,288
25,68%,422,458,495,48,328
26,80%,390,423,457,49,348
27,88%,358,389,420,50,347
28,93%,325,354,382,50,332
29,100%,40,44,48,,44
30,100%,38,41,44,,41
31,100%,35,38,41,,38
32,100%,32,35,38,,35
33,100%,29,32,35,,32
34,100%,27,29,31,,29
35,100%,24,26,28,,26
36,100%,21,23,25,,23
37,100%,18,20,22,,20
38,100%,16,17,18,,17
39+,100%,13,14,15,,14
