Recipe Key,recipe_item_material_thread_silver
Recipe Name,Silver Thread
Skill,skill_tailoring
UnlockAtSkillLevel,7
SkillDifficulty,17
XPMultiplier,1.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
7,5%,265,288,311,20,34
8,9%,252,274,295,20,44
9,16%,238,259,280,20,58
10,26%,225,245,264,20,78
11,39%,212,230,249,20,102
12,54%,199,216,233,20,126
13,68%,185,202,218,20,144
14,80%,172,187,202,20,153
15,88%,159,173,187,21,154
16,93%,146,158,171,22,149
17,100%,27,29,31,,29
18,100%,23,25,27,,25
19,100%,19,21,23,,21
20,100%,16,17,18,,17
21,100%,12,13,14,,13
22,100%,8,9,10,,9
23,100%,5,5,5,,5
24,100%,1,1,1,,1
25,100%,0,0,0,,0
26,100%,0,0,0,,0
27+,100%,0,0,0,,0
