Recipe Key,recipe_wearable_cloth_chest_cleric_ct_t2_rare
Recipe Name,Cleric's Alb of Cleansing II
Skill,skill_tailoring
UnlockAtSkillLevel,0
SkillDifficulty,18
XPMultiplier,5.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1154,1254,1355,20,69
1,4%,1113,1210,1306,20,68
2,4%,1072,1165,1258,20,66
3,4%,1030,1120,1210,20,64
4,4%,989,1075,1161,20,62
5,4%,948,1030,1113,20,60
6,4%,907,986,1064,20,59
7,4%,866,941,1016,20,57
8,5%,824,896,968,21,68
9,9%,783,851,919,22,100
10,16%,742,806,871,23,148
11,26%,701,762,823,24,215
12,39%,659,717,774,25,295
13,54%,618,672,726,26,374
14,68%,577,627,677,27,436
15,80%,536,582,629,28,470
16,88%,495,538,581,29,476
17,93%,453,493,532,30,460
18,100%,28,30,32,,30
19,100%,24,26,28,,26
20,100%,20,22,24,,22
21,100%,17,18,19,,18
22,100%,13,14,15,,14
23,100%,9,10,11,,10
24,100%,6,6,6,,6
25,100%,2,2,2,,2
26,100%,0,0,0,,0
27,100%,0,0,0,,0
28+,100%,0,0,0,,0
