Recipe Key,recipe_wearable_cloth_chest_cleric_dp_t3_uncommon
Recipe Name,Cleric's Alb of Reflection III
Skill,skill_tailoring
UnlockAtSkillLevel,12
SkillDifficulty,25
XPMultiplier,3.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
12,4%,620,673,727,20,46
13,4%,592,644,695,20,45
14,4%,565,614,663,20,44
15,5%,538,585,631,20,50
16,9%,511,555,599,20,70
17,16%,483,525,567,21,102
18,26%,456,496,535,22,144
19,39%,429,466,503,23,196
20,54%,402,437,472,24,247
21,68%,374,407,440,25,286
22,80%,347,377,408,26,306
23,88%,320,348,376,27,309
24,93%,293,318,344,28,298
25,100%,34,37,40,,37
26,100%,30,33,36,,33
27,100%,27,29,31,,29
28,100%,23,25,27,,25
29,100%,19,21,23,,21
30,100%,16,17,18,,17
31,100%,12,13,14,,13
32,100%,8,9,10,,9
33,100%,5,5,5,,5
34,100%,1,1,1,,1
35+,100%,0,0,0,,0
