Recipe Key,recipe_wearable_cloth_chest_magus_a_t3_rare
Recipe Name,Magus' Robe of Concentration III
Skill,skill_tailoring
UnlockAtSkillLevel,0
SkillDifficulty,28
XPMultiplier,8.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,2389,2597,2805,20,123
1,4%,2326,2528,2731,20,120
2,4%,2263,2460,2656,20,118
3,4%,2200,2391,2582,20,115
4,4%,2136,2322,2508,20,112
5,4%,2073,2253,2433,21,110
6,4%,2010,2184,2359,22,108
7,4%,1946,2116,2285,23,107
8,4%,1883,2047,2211,24,105
9,4%,1820,1978,2136,25,103
10,4%,1756,1909,2062,26,101
11,4%,1693,1840,1988,27,100
12,4%,1630,1772,1913,28,98
13,4%,1567,1703,1839,29,96
14,4%,1503,1634,1765,30,94
15,4%,1440,1565,1690,31,92
16,4%,1377,1496,1616,32,91
17,4%,1313,1428,1542,33,89
18,5%,1250,1359,1468,34,105
19,9%,1187,1290,1393,35,153
20,16%,1124,1221,1319,36,225
21,26%,1060,1152,1245,37,325
22,39%,997,1084,1170,38,446
23,54%,934,1015,1096,39,565
24,68%,870,946,1022,40,658
25,80%,807,877,947,41,708
26,88%,744,808,873,42,715
27,93%,680,740,799,43,691
28,100%,37,40,43,,40
29,100%,33,36,39,,36
30,100%,29,32,35,,32
31,100%,26,28,30,,28
32,100%,22,24,26,,24
33,100%,18,20,22,,20
34,100%,15,16,17,,16
35,100%,11,12,13,,12
36,100%,7,8,9,,8
37,100%,4,4,4,,4
38+,100%,0,0,0,,0
