Recipe Key,recipe_wearable_cloth_chest_pilgrim_bol2_t2_rare
Recipe Name,Pilgrim's Tunic II
Skill,skill_tailoring
UnlockAtSkillLevel,0
SkillDifficulty,17
XPMultiplier,5.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1073,1166,1260,20,66
1,4%,1033,1123,1213,20,64
2,4%,994,1080,1166,20,62
3,4%,954,1037,1120,20,61
4,4%,914,994,1073,20,59
5,4%,874,950,1026,20,57
6,4%,835,907,980,20,55
7,5%,795,864,933,20,65
8,9%,755,821,886,21,96
9,16%,715,778,840,22,143
10,26%,676,734,793,23,207
11,39%,636,691,746,24,284
12,54%,596,648,700,25,361
13,68%,556,605,653,26,421
14,80%,517,562,607,27,453
15,88%,477,518,560,28,459
16,93%,437,475,513,29,444
17,100%,27,29,31,,29
18,100%,23,25,27,,25
19,100%,19,21,23,,21
20,100%,16,17,18,,17
21,100%,12,13,14,,13
22,100%,8,9,10,,9
23,100%,5,5,5,,5
24,100%,1,1,1,,1
25,100%,0,0,0,,0
26,100%,0,0,0,,0
27+,100%,0,0,0,,0
