Recipe Key,recipe_wearable_cloth_chest_pilgrim_bol2_t3_uncommon
Recipe Name,Pilgrim's Tunic III
Skill,skill_tailoring
UnlockAtSkillLevel,11
SkillDifficulty,24
XPMultiplier,3.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
11,4%,838,911,984,35,70
12,4%,801,870,940,36,69
13,4%,763,830,896,37,69
14,5%,726,789,852,38,78
15,9%,688,748,808,39,106
16,16%,651,707,764,40,147
17,26%,613,666,720,41,203
18,39%,576,626,676,42,269
19,54%,538,585,632,43,335
20,68%,500,544,588,44,385
21,80%,463,503,543,45,410
22,88%,425,462,499,46,412
23,93%,388,422,455,47,395
24,100%,36,39,42,,39
25,100%,33,36,39,,36
26,100%,30,33,36,,33
27,100%,28,30,32,,30
28,100%,25,27,29,,27
29,100%,22,24,26,,24
30,100%,19,21,23,,21
31,100%,17,18,19,,18
32,100%,14,15,16,,15
33,100%,11,12,13,,12
34+,100%,8,9,10,,9
