Recipe Key,recipe_wearable_cloth_chest_pilgrim_bol_t2_common
Recipe Name,Pilgrim's Tunic II
Skill,skill_tailoring
UnlockAtSkillLevel,5
SkillDifficulty,11
XPMultiplier,1.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
5,39%,188,205,221,20,92
6,54%,177,192,207,20,113
7,68%,165,179,194,20,129
8,80%,153,166,180,20,137
9,88%,141,154,166,20,137
10,93%,130,141,152,20,132
11,100%,21,23,25,,23
12,100%,17,19,21,,19
13,100%,14,15,16,,15
14,100%,10,11,12,,11
15,100%,6,7,8,,7
16,100%,3,3,3,,3
17,100%,0,0,0,,0
18,100%,0,0,0,,0
19,100%,0,0,0,,0
20,100%,0,0,0,,0
21+,100%,0,0,0,,0
