Recipe Key,recipe_wearable_cloth_chest_shepherd_rm_t4_uncommon
Recipe Name,Shepherd's Smock of Blooming Fold IV
Skill,skill_tailoring
UnlockAtSkillLevel,20
SkillDifficulty,35
XPMultiplier,5.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
20,4%,1002,1089,1176,20,63
21,4%,961,1045,1129,20,61
22,4%,921,1001,1081,20,59
23,4%,880,957,1034,20,57
24,4%,840,913,986,20,56
25,5%,799,869,939,21,66
26,9%,759,825,891,22,97
27,16%,719,781,843,23,144
28,26%,678,737,796,24,208
29,39%,638,693,748,25,285
30,54%,597,649,701,26,362
31,68%,557,605,653,27,421
32,80%,516,561,606,28,453
33,88%,476,517,558,29,458
34,93%,435,473,511,30,442
35,100%,43,47,51,,47
36,100%,40,43,46,,43
37,100%,36,39,42,,39
38,100%,32,35,38,,35
39,100%,29,31,33,,31
40,100%,25,27,29,,27
41,100%,21,23,25,,23
42,100%,17,19,21,,19
43,100%,14,15,16,,15
44,100%,10,11,12,,11
45+,100%,6,7,8,,7
