Recipe Key,recipe_wearable_cloth_feet_pilgrim_boj2_t2_rare
Recipe Name,Pilgrim's Slippers II
Skill,skill_tailoring
UnlockAtSkillLevel,0
SkillDifficulty,20
XPMultiplier,5.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1878,2042,2205,35,115
1,4%,1814,1972,2130,36,113
2,4%,1750,1902,2055,37,112
3,4%,1686,1833,1979,38,110
4,4%,1622,1763,1904,39,108
5,4%,1558,1694,1829,40,106
6,4%,1494,1624,1754,41,104
7,4%,1430,1554,1679,42,102
8,4%,1366,1485,1604,43,101
9,4%,1302,1415,1528,44,99
10,5%,1238,1346,1453,45,115
11,9%,1174,1276,1378,46,162
12,16%,1110,1206,1303,47,232
13,26%,1046,1137,1228,48,329
14,39%,982,1067,1153,49,446
15,54%,918,998,1077,50,561
16,68%,854,928,1002,50,649
17,80%,790,858,927,50,695
18,88%,726,789,852,50,699
19,93%,662,719,777,50,672
20,100%,32,35,38,,35
21,100%,29,32,35,,32
22,100%,27,29,31,,29
23,100%,24,26,28,,26
24,100%,21,23,25,,23
25,100%,18,20,22,,20
26,100%,16,17,18,,17
27,100%,13,14,15,,14
28,100%,10,11,12,,11
29,100%,7,8,9,,8
30+,100%,5,5,5,,5
