Recipe Key,recipe_wearable_cloth_feet_shepherd_rd_t2_uncommon
Recipe Name,Shepherd's Steps of Rushing Wind II
Skill,skill_tailoring
UnlockAtSkillLevel,8
SkillDifficulty,18
XPMultiplier,2.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
8,5%,383,416,449,20,41
9,9%,364,395,427,20,55
10,16%,344,374,404,20,77
11,26%,325,354,382,20,106
12,39%,306,333,359,20,142
13,54%,287,312,337,20,177
14,68%,268,291,314,20,205
15,80%,249,270,292,20,220
16,88%,230,250,270,21,222
17,93%,210,229,247,22,214
18,100%,28,30,32,,30
19,100%,24,26,28,,26
20,100%,20,22,24,,22
21,100%,17,18,19,,18
22,100%,13,14,15,,14
23,100%,9,10,11,,10
24,100%,6,6,6,,6
25,100%,2,2,2,,2
26,100%,0,0,0,,0
27,100%,0,0,0,,0
28+,100%,0,0,0,,0
