Recipe Key,recipe_wearable_cloth_feet_shepherd_rd_t4_uncommon
Recipe Name,Shepherd's Steps of Rushing Wind IV
Skill,skill_tailoring
UnlockAtSkillLevel,23
SkillDifficulty,38
XPMultiplier,5.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
23,4%,1075,1168,1262,20,66
24,4%,1031,1121,1211,20,64
25,4%,988,1074,1160,20,62
26,4%,944,1027,1109,20,60
27,4%,901,979,1058,20,58
28,5%,858,932,1007,21,70
29,9%,814,885,956,22,103
30,16%,771,838,905,23,153
31,26%,727,791,854,24,222
32,39%,684,743,803,25,305
33,54%,641,696,752,26,387
34,68%,597,649,701,27,451
35,80%,554,602,650,28,485
36,88%,510,555,599,29,491
37,93%,467,507,548,30,474
38,100%,46,50,54,,50
39,100%,42,46,50,,46
40,100%,39,42,45,,42
41,100%,35,38,41,,38
42,100%,31,34,37,,34
43,100%,28,30,32,,30
44,100%,24,26,28,,26
45,100%,20,22,24,,22
46,100%,17,18,19,,18
47,100%,13,14,15,,14
48+,100%,9,10,11,,10
