Recipe Key,recipe_wearable_cloth_head_shepherd_p_t2_common
Recipe Name,Shepherd's Hairband of Quiet Gaze II
Skill,skill_tailoring
UnlockAtSkillLevel,7
SkillDifficulty,16
XPMultiplier,1.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
7,9%,364,396,428,35,69
8,16%,344,374,404,36,90
9,26%,325,353,381,37,119
10,39%,305,331,358,38,152
11,54%,285,310,334,39,185
12,68%,265,288,311,40,209
13,80%,245,266,288,41,221
14,88%,225,245,264,42,220
15,93%,205,223,241,43,211
16,100%,29,31,33,,31
17,100%,26,28,30,,28
18,100%,23,25,27,,25
19,100%,20,22,24,,22
20,100%,17,19,21,,19
21,100%,15,16,17,,16
22,100%,12,13,14,,13
23,100%,9,10,11,,10
24,100%,6,7,8,,7
25,100%,4,4,4,,4
26+,100%,1,1,1,,1
