Recipe Key,recipe_wearable_cloth_head_shepherd_p_t3_uncommon
Recipe Name,Shepherd's Hairband of Quiet Gaze III
Skill,skill_tailoring
UnlockAtSkillLevel,15
SkillDifficulty,29
XPMultiplier,4.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
15,4%,1023,1112,1201,38,81
16,4%,979,1064,1149,39,80
17,4%,935,1016,1097,40,79
18,4%,891,968,1045,41,78
19,5%,846,920,994,42,89
20,9%,802,872,942,43,121
21,16%,758,824,890,44,169
22,26%,714,776,838,45,234
23,39%,670,728,786,46,312
24,54%,626,680,734,47,388
25,68%,581,632,683,48,446
26,80%,537,584,631,49,476
27,88%,493,536,579,50,477
28,93%,449,488,527,50,457
29,100%,40,44,48,,44
30,100%,38,41,44,,41
31,100%,35,38,41,,38
32,100%,32,35,38,,35
33,100%,29,32,35,,32
34,100%,27,29,31,,29
35,100%,24,26,28,,26
36,100%,21,23,25,,23
37,100%,18,20,22,,20
38,100%,16,17,18,,17
39+,100%,13,14,15,,14
