Recipe Key,recipe_wearable_cloth_legs_magus_am_t4_uncommon
Recipe Name,Magus' Trousers of Dreambind IV
Skill,skill_tailoring
UnlockAtSkillLevel,21
SkillDifficulty,36
XPMultiplier,5.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
21,4%,1414,1537,1660,38,98
22,4%,1356,1473,1591,39,96
23,4%,1297,1410,1523,40,95
24,4%,1239,1346,1454,41,93
25,4%,1180,1283,1385,42,92
26,5%,1121,1219,1317,43,106
27,9%,1063,1155,1248,44,148
28,16%,1004,1092,1179,45,212
29,26%,946,1028,1110,46,300
30,39%,887,965,1042,47,405
31,54%,829,901,973,48,508
32,68%,770,837,904,49,587
33,80%,712,774,836,50,627
34,88%,653,710,767,50,630
35,93%,595,647,698,50,605
36,100%,47,51,55,,51
37,100%,44,48,52,,48
38,100%,41,45,49,,45
39,100%,39,42,45,,42
40,100%,36,39,42,,39
41,100%,33,36,39,,36
42,100%,30,33,36,,33
43,100%,28,30,32,,30
44,100%,25,27,29,,27
45,100%,22,24,26,,24
46+,100%,19,21,23,,21
