Recipe Key,recipe_wearable_cloth_legs_magus_m_t2_rare
Recipe Name,Magus' Trousers of Entrancement II
Skill,skill_tailoring
UnlockAtSkillLevel,0
SkillDifficulty,19
XPMultiplier,6.1
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1908,2074,2240,35,117
1,4%,1841,2001,2161,36,115
2,4%,1773,1928,2082,37,113
3,4%,1706,1854,2003,38,111
4,4%,1639,1781,1924,39,109
5,4%,1571,1708,1845,40,107
6,4%,1504,1635,1766,41,105
7,4%,1437,1562,1687,42,103
8,4%,1369,1488,1607,43,101
9,5%,1302,1415,1528,44,117
10,9%,1235,1342,1449,45,167
11,16%,1167,1269,1370,46,241
12,26%,1100,1196,1291,47,344
13,39%,1033,1122,1212,48,467
14,54%,965,1049,1133,49,588
15,68%,898,976,1054,50,682
16,80%,831,903,975,50,730
17,88%,763,830,896,50,735
18,93%,696,756,817,50,707
19,100%,31,34,37,,34
20,100%,29,31,33,,31
21,100%,26,28,30,,28
22,100%,23,25,27,,25
23,100%,20,22,24,,22
24,100%,17,19,21,,19
25,100%,15,16,17,,16
26,100%,12,13,14,,13
27,100%,9,10,11,,10
28,100%,6,7,8,,7
29+,100%,4,4,4,,4
