Recipe Key,recipe_wearable_cloth_legs_magus_m_t2_uncommon
Recipe Name,Magus' Trousers of Entrancement II
Skill,skill_tailoring
UnlockAtSkillLevel,7
SkillDifficulty,16
XPMultiplier,2.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
7,9%,364,395,427,20,55
8,16%,344,374,404,20,77
9,26%,325,354,382,20,106
10,39%,306,333,359,20,142
11,54%,287,312,337,20,177
12,68%,268,291,314,20,205
13,80%,249,270,292,20,220
14,88%,230,250,270,20,222
15,93%,210,229,247,21,214
16,100%,26,28,30,,28
17,100%,22,24,26,,24
18,100%,18,20,22,,20
19,100%,15,16,17,,16
20,100%,11,12,13,,12
21,100%,7,8,9,,8
22,100%,4,4,4,,4
23,100%,0,0,0,,0
24,100%,0,0,0,,0
25,100%,0,0,0,,0
26+,100%,0,0,0,,0
