Recipe Key,recipe_wearable_cloth_legs_pilgrim_bob_t4_common
Recipe Name,Pilgrim's Breeches IV
Skill,skill_tailoring
UnlockAtSkillLevel,18
SkillDifficulty,32
XPMultiplier,3.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
18,4%,594,646,698,20,45
19,4%,569,619,668,20,44
20,4%,544,592,639,20,43
21,4%,519,564,610,20,42
22,5%,494,537,580,20,48
23,9%,469,510,551,21,67
24,16%,444,483,521,22,96
25,26%,419,456,492,23,135
26,39%,394,428,463,24,182
27,54%,369,401,433,25,228
28,68%,344,374,404,26,263
29,80%,319,347,375,27,282
30,88%,294,320,345,28,284
31,93%,269,292,316,29,274
32,100%,40,44,48,,44
33,100%,37,40,43,,40
34,100%,33,36,39,,36
35,100%,29,32,35,,32
36,100%,26,28,30,,28
37,100%,22,24,26,,24
38,100%,18,20,22,,20
39,100%,15,16,17,,16
40,100%,11,12,13,,12
41,100%,7,8,9,,8
42+,100%,4,4,4,,4
