Recipe Key,recipe_item_unlock_crafter_blacksmith_weapon_workbench_2
Recipe Name,Weaponsmithing Tools
Skill,skill_weapon_smithing
UnlockAtSkillLevel,9
SkillDifficulty,21
XPMultiplier,2.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
9,4%,372,405,437,20,35
10,4%,355,386,417,20,35
11,5%,339,368,397,20,39
12,9%,322,350,378,20,51
13,16%,305,331,358,20,70
14,26%,288,313,338,20,96
15,39%,271,294,318,20,127
16,54%,254,276,298,20,158
17,68%,237,258,278,21,182
18,80%,220,239,258,22,195
19,88%,203,221,238,23,197
20,93%,186,202,219,24,190
21,100%,30,33,36,,33
22,100%,27,29,31,,29
23,100%,23,25,27,,25
24,100%,19,21,23,,21
25,100%,16,17,18,,17
26,100%,12,13,14,,13
27,100%,8,9,10,,9
28,100%,5,5,5,,5
29,100%,1,1,1,,1
30,100%,0,0,0,,0
31+,100%,0,0,0,,0
