Recipe Key,recipe_wieldable_axe_2h_0_t2_common
Recipe Name,Iron Battleaxe
Skill,skill_weapon_smithing
UnlockAtSkillLevel,9
SkillDifficulty,20
XPMultiplier,2.2
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
9,4%,340,370,399,20,34
10,5%,324,352,380,20,38
11,9%,308,334,361,20,50
12,16%,291,317,342,20,67
13,26%,275,299,323,20,92
14,39%,259,282,304,20,122
15,54%,243,264,285,20,152
16,68%,227,246,266,20,174
17,80%,210,229,247,21,187
18,88%,194,211,228,22,188
19,93%,178,194,209,23,182
20,100%,29,32,35,,32
21,100%,26,28,30,,28
22,100%,22,24,26,,24
23,100%,18,20,22,,20
24,100%,15,16,17,,16
25,100%,11,12,13,,12
26,100%,7,8,9,,8
27,100%,4,4,4,,4
28,100%,0,0,0,,0
29,100%,0,0,0,,0
30+,100%,0,0,0,,0
