Recipe Key,recipe_wieldable_axe_2h_0_t2_rare
Recipe Name,Warded Iron Battleaxe
Skill,skill_weapon_smithing
UnlockAtSkillLevel,0
SkillDifficulty,26
XPMultiplier,7.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,1947,2116,2286,20,104
1,4%,1893,2057,2222,20,101
2,4%,1838,1998,2158,20,99
3,4%,1784,1939,2094,20,97
4,4%,1729,1880,2030,20,94
5,4%,1675,1820,1966,21,93
6,4%,1620,1761,1902,22,92
7,4%,1566,1702,1838,23,90
8,4%,1511,1643,1774,24,89
9,4%,1457,1584,1710,25,87
10,4%,1402,1524,1646,26,86
11,4%,1348,1465,1582,27,85
12,4%,1294,1406,1518,28,83
13,4%,1239,1347,1455,29,82
14,4%,1185,1288,1391,30,80
15,4%,1130,1228,1327,31,79
16,5%,1076,1169,1263,32,93
17,9%,1021,1110,1199,33,134
18,16%,967,1051,1135,34,196
19,26%,912,992,1071,35,282
20,39%,858,932,1007,36,385
21,54%,803,873,943,37,488
22,68%,749,814,879,38,567
23,80%,694,755,815,39,610
24,88%,640,696,751,40,616
25,93%,585,636,687,41,595
26,100%,35,38,41,,38
27,100%,31,34,37,,34
28,100%,28,30,32,,30
29,100%,24,26,28,,26
30,100%,20,22,24,,22
31,100%,17,18,19,,18
32,100%,13,14,15,,14
33,100%,9,10,11,,10
34,100%,6,6,6,,6
35,100%,2,2,2,,2
36+,100%,0,0,0,,0
