Recipe Key,recipe_wieldable_axe_2h_0_t3_common
Recipe Name,Wrought Iron Battleaxe
Skill,skill_weapon_smithing
UnlockAtSkillLevel,16
SkillDifficulty,30
XPMultiplier,3.5
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
16,4%,612,665,718,20,46
17,4%,586,637,688,20,45
18,4%,560,609,658,20,44
19,4%,535,581,627,20,42
20,5%,509,553,597,20,49
21,9%,483,525,567,21,68
22,16%,457,497,537,22,98
23,26%,431,469,507,23,138
24,39%,406,441,476,24,187
25,54%,380,413,446,25,234
26,68%,354,385,416,26,271
27,80%,328,357,386,27,290
28,88%,303,329,355,28,292
29,93%,277,301,325,29,282
30,100%,39,42,45,,42
31,100%,35,38,41,,38
32,100%,31,34,37,,34
33,100%,28,30,32,,30
34,100%,24,26,28,,26
35,100%,20,22,24,,22
36,100%,17,18,19,,18
37,100%,13,14,15,,14
38,100%,9,10,11,,10
39,100%,6,6,6,,6
40+,100%,2,2,2,,2
