Recipe Key,recipe_wieldable_cleric_staff_2h_projectile_t1_uncommon
Recipe Name,Attuned Staff of Zephyr
Skill,skill_weapon_smithing
UnlockAtSkillLevel,5
SkillDifficulty,10
XPMultiplier,1.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
5,54%,155,168,181,20,100
6,68%,144,157,169,20,113
7,80%,134,146,157,20,120
8,88%,124,134,145,20,120
9,93%,113,123,133,20,116
10,100%,20,22,24,,22
11,100%,17,18,19,,18
12,100%,13,14,15,,14
13,100%,9,10,11,,10
14,100%,6,6,6,,6
15,100%,2,2,2,,2
16,100%,0,0,0,,0
17,100%,0,0,0,,0
18,100%,0,0,0,,0
19,100%,0,0,0,,0
20+,100%,0,0,0,,0
