Recipe Key,recipe_wieldable_cleric_staff_2h_projectile_t3_rare
Recipe Name,Warded Staff of Zephyr III
Skill,skill_weapon_smithing
UnlockAtSkillLevel,0
SkillDifficulty,33
XPMultiplier,10.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,3430,3728,4026,20,168
1,4%,3349,3641,3932,20,165
2,4%,3269,3553,3838,20,161
3,4%,3189,3466,3743,20,158
4,4%,3109,3379,3649,20,154
5,4%,3028,3292,3555,21,152
6,4%,2948,3205,3461,22,149
7,4%,2868,3117,3367,23,147
8,4%,2788,3030,3273,24,144
9,4%,2708,2943,3178,25,142
10,4%,2627,2856,3084,26,139
11,4%,2547,2769,2990,27,137
12,4%,2467,2681,2896,28,134
13,4%,2387,2594,2802,29,132
14,4%,2306,2507,2708,30,129
15,4%,2226,2420,2613,31,127
16,4%,2146,2333,2519,32,124
17,4%,2066,2245,2425,33,121
18,4%,1986,2158,2331,34,119
19,4%,1905,2071,2237,35,116
20,4%,1825,1984,2143,36,114
21,4%,1745,1897,2048,37,111
22,4%,1665,1809,1954,38,109
23,5%,1584,1722,1860,39,129
24,9%,1504,1635,1766,40,190
25,16%,1424,1548,1672,41,282
26,26%,1344,1461,1577,42,409
27,39%,1264,1373,1483,43,561
28,54%,1183,1286,1389,44,714
29,68%,1103,1199,1295,45,832
30,80%,1023,1112,1201,46,896
31,88%,943,1025,1107,47,906
32,93%,862,937,1012,48,875
33,100%,41,45,49,,45
34,100%,38,41,44,,41
35,100%,34,37,40,,37
36,100%,30,33,36,,33
37,100%,27,29,31,,29
38,100%,23,25,27,,25
39,100%,19,21,23,,21
40,100%,16,17,18,,17
41,100%,12,13,14,,13
42,100%,8,9,10,,9
43+,100%,5,5,5,,5
