Recipe Key,recipe_wieldable_mace_1h_0_t4_rare
Recipe Name,Warded Steel Mace
Skill,skill_weapon_smithing
UnlockAtSkillLevel,0
SkillDifficulty,44
XPMultiplier,15.6
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,6143,6677,7211,20,286
1,4%,6028,6552,7076,20,281
2,4%,5913,6427,6941,20,276
3,4%,5798,6302,6807,21,272
4,4%,5683,6178,6672,22,268
5,4%,5569,6053,6537,23,264
6,4%,5454,5928,6402,24,260
7,4%,5339,5803,6267,25,256
8,4%,5224,5678,6133,26,252
9,4%,5109,5554,5998,27,248
10,4%,4994,5429,5863,28,244
11,4%,4880,5304,5728,29,240
12,4%,4765,5179,5594,30,236
13,4%,4650,5054,5459,31,232
14,4%,4535,4930,5324,32,228
15,4%,4420,4805,5189,33,224
16,4%,4306,4680,5054,34,220
17,4%,4191,4555,4920,35,216
18,4%,4076,4430,4785,36,212
19,4%,3961,4306,4650,37,208
20,4%,3846,4181,4515,38,204
21,4%,3732,4056,4380,39,200
22,4%,3617,3931,4246,40,196
23,4%,3502,3806,4111,41,192
24,4%,3387,3682,3976,42,188
25,4%,3272,3557,3841,43,184
26,4%,3157,3432,3707,44,180
27,4%,3043,3307,3572,45,175
28,4%,2928,3182,3437,46,171
29,4%,2813,3058,3302,47,167
30,4%,2698,2933,3167,48,163
31,4%,2583,2808,3033,49,159
32,4%,2469,2683,2898,50,155
33,4%,2354,2558,2763,50,150
34,5%,2239,2434,2628,50,178
35,9%,2124,2309,2494,50,262
36,16%,2009,2184,2359,50,391
37,26%,1894,2059,2224,50,569
38,39%,1780,1934,2089,50,784
39,54%,1665,1810,1954,50,999
40,68%,1550,1685,1820,50,1165
41,80%,1435,1560,1685,50,1254
42,88%,1320,1435,1550,50,1266
43,93%,1206,1310,1415,50,1222
44,100%,52,56,60,,56
45,100%,48,52,56,,52
46,100%,44,48,52,,48
47,100%,40,44,48,,44
48,100%,37,40,43,,40
49,100%,33,36,39,,36
50,100%,29,32,35,,32
51,100%,26,28,30,,28
52,100%,22,24,26,,24
53,100%,18,20,22,,20
54+,100%,15,16,17,,16
