Recipe Key,recipe_wieldable_mace_1h_0_t4_uncommon
Recipe Name,Attuned Steel Mace
Skill,skill_weapon_smithing
UnlockAtSkillLevel,26
SkillDifficulty,41
XPMultiplier,6.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
26,4%,1208,1313,1418,20,72
27,4%,1159,1260,1360,20,70
28,4%,1110,1206,1302,20,67
29,4%,1060,1152,1245,21,66
30,4%,1011,1099,1187,22,65
31,5%,962,1045,1129,23,78
32,9%,912,992,1071,24,115
33,16%,863,938,1013,25,171
34,26%,814,884,955,26,248
35,39%,764,831,897,27,340
36,54%,715,777,839,28,432
37,68%,666,724,781,29,503
38,80%,616,670,724,30,540
39,88%,567,616,666,31,545
40,93%,518,563,608,32,525
41,100%,49,53,57,,53
42,100%,45,49,53,,49
43,100%,41,45,49,,45
44,100%,38,41,44,,41
45,100%,34,37,40,,37
46,100%,30,33,36,,33
47,100%,27,29,31,,29
48,100%,23,25,27,,25
49,100%,19,21,23,,21
50,100%,16,17,18,,17
51+,100%,12,13,14,,13
