Recipe Key,recipe_wieldable_mace_2h_0_t2_rare
Recipe Name,Warded Iron Greatmaul
Skill,skill_weapon_smithing
UnlockAtSkillLevel,0
SkillDifficulty,25
XPMultiplier,7.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,2791,3034,3277,38,158
1,4%,2710,2945,3181,39,155
2,4%,2628,2856,3085,40,153
3,4%,2546,2768,2989,41,150
4,4%,2464,2679,2893,42,147
5,4%,2383,2590,2797,43,145
6,4%,2301,2501,2701,44,142
7,4%,2219,2412,2605,45,140
8,4%,2138,2324,2509,46,137
9,4%,2056,2235,2414,47,135
10,4%,1974,2146,2318,48,132
11,4%,1893,2057,2222,49,129
12,4%,1811,1968,2126,50,127
13,4%,1729,1880,2030,50,123
14,4%,1648,1791,1934,50,120
15,5%,1566,1702,1838,50,138
16,9%,1484,1613,1742,50,197
17,16%,1402,1524,1646,50,285
18,26%,1321,1436,1550,50,408
19,39%,1239,1347,1455,50,555
20,54%,1157,1258,1359,50,701
21,68%,1076,1169,1263,50,813
22,80%,994,1080,1167,50,872
23,88%,912,992,1071,50,877
24,93%,831,903,975,50,843
25,100%,37,40,43,,40
26,100%,34,37,40,,37
27,100%,31,34,37,,34
28,100%,29,31,33,,31
29,100%,26,28,30,,28
30,100%,23,25,27,,25
31,100%,20,22,24,,22
32,100%,17,19,21,,19
33,100%,15,16,17,,16
34,100%,12,13,14,,13
35+,100%,9,10,11,,10
