Recipe Key,recipe_wieldable_mace_2h_0_t2_uncommon
Recipe Name,Attuned Iron Greatmaul
Skill,skill_weapon_smithing
UnlockAtSkillLevel,9
SkillDifficulty,22
XPMultiplier,3.2
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
9,4%,542,589,636,20,43
10,4%,518,563,608,20,42
11,4%,495,538,581,20,41
12,5%,471,512,553,20,46
13,9%,447,486,525,20,64
14,16%,424,461,498,20,90
15,26%,400,435,470,20,127
16,39%,377,410,442,20,172
17,54%,353,384,415,21,217
18,68%,330,358,387,22,251
19,80%,306,333,359,23,270
20,88%,283,307,332,24,273
21,93%,259,282,304,25,264
22,100%,31,34,37,,34
23,100%,28,30,32,,30
24,100%,24,26,28,,26
25,100%,20,22,24,,22
26,100%,17,18,19,,18
27,100%,13,14,15,,14
28,100%,9,10,11,,10
29,100%,6,6,6,,6
30,100%,2,2,2,,2
31,100%,0,0,0,,0
32+,100%,0,0,0,,0
