Recipe Key,recipe_wieldable_mace_2h_0_t4_common
Recipe Name,Steel Greatmaul
Skill,skill_weapon_smithing
UnlockAtSkillLevel,24
SkillDifficulty,39
XPMultiplier,4.9
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
24,4%,1307,1421,1535,38,93
25,4%,1253,1362,1471,39,92
26,4%,1199,1303,1408,40,91
27,4%,1145,1245,1344,41,89
28,4%,1091,1186,1281,42,88
29,5%,1037,1127,1217,43,101
30,9%,983,1068,1154,44,140
31,16%,929,1009,1090,45,199
32,26%,875,951,1027,46,280
33,39%,820,892,963,47,376
34,54%,766,833,900,48,471
35,68%,712,774,836,49,544
36,80%,658,715,773,50,581
37,88%,604,657,709,50,583
38,93%,550,598,646,50,559
39,100%,50,54,58,,54
40,100%,47,51,55,,51
41,100%,44,48,52,,48
42,100%,41,45,49,,45
43,100%,39,42,45,,42
44,100%,36,39,42,,39
45,100%,33,36,39,,36
46,100%,30,33,36,,33
47,100%,28,30,32,,30
48,100%,25,27,29,,27
49+,100%,22,24,26,,24
