Recipe Key,recipe_wieldable_sword_1h_0_t1_common
Recipe Name,Bronze Broadsword
Skill,skill_weapon_smithing
UnlockAtSkillLevel,0
SkillDifficulty,2
XPMultiplier,1.1
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,88%,97,106,114,20,95
1,93%,89,97,105,20,91
2,100%,13,14,15,,14
3,100%,9,10,11,,10
4,100%,6,6,6,,6
5,100%,2,2,2,,2
6,100%,0,0,0,,0
7,100%,0,0,0,,0
8,100%,0,0,0,,0
9,100%,0,0,0,,0
10,100%,0,0,0,,0
11,100%,0,0,0,,0
12+,100%,0,0,0,,0
