Recipe Key,recipe_wieldable_sword_2h_0_t1_uncommon
Recipe Name,Attuned Bronze Greatsword
Skill,skill_weapon_smithing
UnlockAtSkillLevel,3
SkillDifficulty,6
XPMultiplier,1.2
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
3,80%,115,125,135,20,104
4,88%,106,115,124,20,104
5,93%,97,106,114,20,100
6,100%,17,18,19,,18
7,100%,13,14,15,,14
8,100%,9,10,11,,10
9,100%,6,6,6,,6
10,100%,2,2,2,,2
11,100%,0,0,0,,0
12,100%,0,0,0,,0
13,100%,0,0,0,,0
14,100%,0,0,0,,0
15,100%,0,0,0,,0
16+,100%,0,0,0,,0
