Recipe Key,recipe_wieldable_sword_2h_0_t2_uncommon
Recipe Name,Attuned Iron Greatsword
Skill,skill_weapon_smithing
UnlockAtSkillLevel,7
SkillDifficulty,16
XPMultiplier,2.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
7,9%,336,365,394,20,52
8,16%,318,346,373,20,72
9,26%,300,326,353,20,99
10,39%,283,307,332,20,132
11,54%,265,288,311,20,165
12,68%,247,269,290,20,190
13,80%,230,250,270,20,203
14,88%,212,230,249,20,205
15,93%,194,211,228,21,198
16,100%,26,28,30,,28
17,100%,22,24,26,,24
18,100%,18,20,22,,20
19,100%,15,16,17,,16
20,100%,11,12,13,,12
21,100%,7,8,9,,8
22,100%,4,4,4,,4
23,100%,0,0,0,,0
24,100%,0,0,0,,0
25,100%,0,0,0,,0
26+,100%,0,0,0,,0
