Recipe Key,recipe_wieldable_tool_mining_pickaxe_t1_rare
Recipe Name,Honed Bronze Pickaxe
Skill,skill_weapon_smithing
UnlockAtSkillLevel,0
SkillDifficulty,11
XPMultiplier,3.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,464,504,544,20,39
1,5%,442,480,518,20,45
2,9%,420,456,492,20,61
3,16%,397,432,467,20,86
4,26%,375,408,441,20,120
5,39%,353,384,415,20,162
6,54%,331,360,389,20,203
7,68%,309,336,363,20,236
8,80%,287,312,337,21,253
9,88%,265,288,311,22,256
10,93%,243,264,285,23,247
11,100%,21,23,25,,23
12,100%,17,19,21,,19
13,100%,14,15,16,,15
14,100%,10,11,12,,11
15,100%,6,7,8,,7
16,100%,3,3,3,,3
17,100%,0,0,0,,0
18,100%,0,0,0,,0
19,100%,0,0,0,,0
20,100%,0,0,0,,0
21+,100%,0,0,0,,0
