Recipe Key,recipe_wieldable_tool_skinning_knife_t1_rare
Recipe Name,Honed Bronze Skinning Knife
Skill,skill_weapon_smithing
UnlockAtSkillLevel,0
SkillDifficulty,12
XPMultiplier,3.1
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,502,546,589,20,41
1,4%,479,521,562,20,40
2,5%,456,496,536,20,45
3,9%,434,471,509,20,62
4,16%,411,446,482,20,88
5,26%,388,422,455,20,124
6,39%,365,397,429,20,167
7,54%,342,372,402,20,210
8,68%,319,347,375,21,244
9,80%,297,322,348,22,262
10,88%,274,298,321,23,264
11,93%,251,273,295,24,255
12,100%,22,24,26,,24
13,100%,18,20,22,,20
14,100%,15,16,17,,16
15,100%,11,12,13,,12
16,100%,7,8,9,,8
17,100%,4,4,4,,4
18,100%,0,0,0,,0
19,100%,0,0,0,,0
20,100%,0,0,0,,0
21,100%,0,0,0,,0
22+,100%,0,0,0,,0
