Recipe Key,recipe_wieldable_tool_skinning_knife_t2_uncommon
Recipe Name,Tempered Iron Skinning Knife
Skill,skill_weapon_smithing
UnlockAtSkillLevel,9
SkillDifficulty,20
XPMultiplier,2.8
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
9,4%,433,470,508,20,38
10,5%,412,448,484,20,43
11,9%,392,426,460,20,58
12,16%,371,403,435,20,81
13,26%,350,381,411,20,113
14,39%,330,358,387,20,152
15,54%,309,336,363,20,190
16,68%,289,314,339,20,220
17,80%,268,291,314,21,236
18,88%,247,269,290,22,239
19,93%,227,246,266,23,231
20,100%,29,32,35,,32
21,100%,26,28,30,,28
22,100%,22,24,26,,24
23,100%,18,20,22,,20
24,100%,15,16,17,,16
25,100%,11,12,13,,12
26,100%,7,8,9,,8
27,100%,4,4,4,,4
28,100%,0,0,0,,0
29,100%,0,0,0,,0
30+,100%,0,0,0,,0
