Recipe Key,recipe_wieldable_tool_skinning_knife_t3_rare
Recipe Name,Honed Wrought Iron Skinning Knife
Skill,skill_weapon_smithing
UnlockAtSkillLevel,0
SkillDifficulty,33
XPMultiplier,9.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,4%,3052,3317,3583,20,152
1,4%,2981,3240,3499,20,149
2,4%,2909,3162,3415,20,146
3,4%,2838,3085,3331,20,143
4,4%,2766,3007,3248,20,139
5,4%,2695,2929,3164,21,137
6,4%,2624,2852,3080,22,135
7,4%,2552,2774,2996,23,133
8,4%,2481,2697,2912,24,131
9,4%,2409,2619,2829,25,129
10,4%,2338,2541,2745,26,127
11,4%,2267,2464,2661,27,124
12,4%,2195,2386,2577,28,122
13,4%,2124,2309,2493,29,120
14,4%,2053,2231,2409,30,118
15,4%,1981,2153,2326,31,116
16,4%,1910,2076,2242,32,114
17,4%,1838,1998,2158,33,112
18,4%,1767,1921,2074,34,109
19,4%,1696,1843,1990,35,107
20,4%,1624,1765,1907,36,105
21,4%,1553,1688,1823,37,103
22,4%,1481,1610,1739,38,101
23,5%,1410,1533,1655,39,119
24,9%,1339,1455,1571,40,173
25,16%,1267,1377,1488,41,254
26,26%,1196,1300,1404,42,367
27,39%,1124,1222,1320,43,503
28,54%,1053,1145,1236,44,638
29,68%,982,1067,1152,45,742
30,80%,910,989,1069,46,798
31,88%,839,912,985,47,806
32,93%,767,834,901,48,779
33,100%,41,45,49,,45
34,100%,38,41,44,,41
35,100%,34,37,40,,37
36,100%,30,33,36,,33
37,100%,27,29,31,,29
38,100%,23,25,27,,25
39,100%,19,21,23,,21
40,100%,16,17,18,,17
41,100%,12,13,14,,13
42,100%,8,9,10,,9
43+,100%,5,5,5,,5
