Recipe Key,recipe_wieldable_tool_skinning_knife_t3_uncommon
Recipe Name,Tempered Wrought Iron Skinning Knife
Skill,skill_weapon_smithing
UnlockAtSkillLevel,16
SkillDifficulty,30
XPMultiplier,4.2
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
16,4%,734,798,862,20,51
17,4%,703,764,826,20,50
18,4%,672,731,789,20,48
19,4%,641,697,753,20,47
20,5%,611,664,717,20,54
21,9%,580,630,680,21,78
22,16%,549,596,644,22,114
23,26%,518,563,608,23,162
24,39%,487,529,572,24,221
25,54%,456,496,535,25,279
26,68%,425,462,499,26,323
27,80%,394,428,463,27,347
28,88%,363,395,426,28,350
29,93%,332,361,390,29,338
30,100%,39,42,45,,42
31,100%,35,38,41,,38
32,100%,31,34,37,,34
33,100%,28,30,32,,30
34,100%,24,26,28,,26
35,100%,20,22,24,,22
36,100%,17,18,19,,18
37,100%,13,14,15,,14
38,100%,9,10,11,,10
39,100%,6,6,6,,6
40+,100%,2,2,2,,2
