Recipe Key,recipe_wieldable_tool_skinning_knife_t4_common
Recipe Name,Steel Skinning Knife
Skill,skill_weapon_smithing
UnlockAtSkillLevel,22
SkillDifficulty,37
XPMultiplier,4.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
22,4%,1174,1276,1378,38,88
23,4%,1125,1223,1321,39,86
24,4%,1077,1170,1264,40,85
25,4%,1028,1118,1207,41,84
26,4%,980,1065,1150,42,83
27,5%,931,1012,1093,43,95
28,9%,882,959,1036,44,130
29,16%,834,906,979,45,183
30,26%,785,854,922,46,255
31,39%,737,801,865,47,341
32,54%,688,748,808,48,426
33,68%,640,695,751,49,490
34,80%,591,642,694,50,522
35,88%,542,590,637,50,524
36,93%,494,537,580,50,503
37,100%,48,52,56,,52
38,100%,45,49,53,,49
39,100%,42,46,50,,46
40,100%,40,43,46,,43
41,100%,37,40,43,,40
42,100%,34,37,40,,37
43,100%,31,34,37,,34
44,100%,29,31,33,,31
45,100%,26,28,30,,28
46,100%,23,25,27,,25
47+,100%,20,22,24,,22
