Recipe Key,recipe_activatable_drink_beer_damagebuff_26
Recipe Name,Small Beer
Skill,skill_winery_and_brewing
UnlockAtSkillLevel,14
SkillDifficulty,28
XPMultiplier,2.7
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
14,4%,472,513,554,20,40
15,4%,452,491,531,20,39
16,4%,432,470,507,20,38
17,4%,412,448,484,20,37
18,5%,392,427,461,20,42
19,9%,373,405,437,21,57
20,16%,353,383,414,22,80
21,26%,333,362,391,23,111
22,39%,313,340,367,24,147
23,54%,293,319,344,25,183
24,68%,273,297,321,26,211
25,80%,253,275,297,27,225
26,88%,233,254,274,28,226
27,93%,214,232,251,29,218
28,100%,37,40,43,,40
29,100%,33,36,39,,36
30,100%,29,32,35,,32
31,100%,26,28,30,,28
32,100%,22,24,26,,24
33,100%,18,20,22,,20
34,100%,15,16,17,,16
35,100%,11,12,13,,12
36,100%,7,8,9,,8
37,100%,4,4,4,,4
38+,100%,0,0,0,,0
