Recipe Key,recipe_activatable_drink_mead_damagebuff_38
Recipe Name,Sweet Mead
Skill,skill_winery_and_brewing
UnlockAtSkillLevel,19
SkillDifficulty,33
XPMultiplier,3.4
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
19,4%,594,646,698,20,45
20,4%,569,619,668,20,44
21,4%,544,592,639,20,43
22,4%,519,564,610,20,42
23,5%,494,537,580,20,48
24,9%,469,510,551,21,67
25,16%,444,483,521,22,96
26,26%,419,456,492,23,135
27,39%,394,428,463,24,182
28,54%,369,401,433,25,228
29,68%,344,374,404,26,263
30,80%,319,347,375,27,282
31,88%,294,320,345,28,284
32,93%,269,292,316,29,274
33,100%,41,45,49,,45
34,100%,38,41,44,,41
35,100%,34,37,40,,37
36,100%,30,33,36,,33
37,100%,27,29,31,,29
38,100%,23,25,27,,25
39,100%,19,21,23,,21
40,100%,16,17,18,,17
41,100%,12,13,14,,13
42,100%,8,9,10,,9
43+,100%,5,5,5,,5
