Recipe Key,recipe_activatable_drink_wine_damagebuff_25
Recipe Name,Piquette
Skill,skill_winery_and_brewing
UnlockAtSkillLevel,16
SkillDifficulty,30
XPMultiplier,3.0
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
16,4%,524,570,616,20,42
17,4%,502,546,590,20,41
18,4%,480,522,564,20,40
19,4%,458,498,538,20,39
20,5%,436,474,512,20,44
21,9%,414,450,486,21,61
22,16%,392,426,460,22,87
23,26%,370,402,434,23,121
24,39%,348,378,408,24,162
25,54%,326,354,382,25,202
26,68%,304,330,356,26,233
27,80%,282,306,330,27,249
28,88%,259,282,305,28,251
29,93%,237,258,279,29,242
30,100%,39,42,45,,42
31,100%,35,38,41,,38
32,100%,31,34,37,,34
33,100%,28,30,32,,30
34,100%,24,26,28,,26
35,100%,20,22,24,,22
36,100%,17,18,19,,18
37,100%,13,14,15,,14
38,100%,9,10,11,,10
39,100%,6,6,6,,6
40+,100%,2,2,2,,2
