Recipe Key,recipe_activatable_drink_wine_maxhp_52
Recipe Name,Mulled Redwine
Skill,skill_winery_and_brewing
UnlockAtSkillLevel,25
SkillDifficulty,40
XPMultiplier,4.3
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
25,4%,783,851,920,20,53
26,4%,752,817,882,20,52
27,4%,720,783,845,20,51
28,4%,688,748,808,20,49
29,4%,657,714,771,20,48
30,5%,625,679,734,21,56
31,9%,593,645,697,22,81
32,16%,562,611,659,23,117
33,26%,530,576,622,24,167
34,39%,498,542,585,25,226
35,54%,467,507,548,26,286
36,68%,435,473,511,27,331
37,80%,404,439,474,28,355
38,88%,372,404,437,29,359
39,93%,340,370,399,30,346
40,100%,48,52,56,,52
41,100%,44,48,52,,48
42,100%,40,44,48,,44
43,100%,37,40,43,,40
44,100%,33,36,39,,36
45,100%,29,32,35,,32
46,100%,26,28,30,,28
47,100%,22,24,26,,24
48,100%,18,20,22,,20
49,100%,15,16,17,,16
50+,100%,11,12,13,,12
