skill,recipe_key,recipe_name,unlock_at,difficulty,xp_multiplier,station,csv_path
skill_cooking,recipe_item_material_animal_lard,Lard,0,5,1.1,,skill_cooking\recipe_item_material_animal_lard.csv
skill_cooking,recipe_item_material_animal_tallow,Tallow,0,4,1.0,,skill_cooking\recipe_item_material_animal_tallow.csv
skill_tailoring,recipe_item_material_crafting_sewing_needles,Sewing Needles,0,2,1.0,,skill_tailoring\recipe_item_material_crafting_sewing_needles.csv
skill_building,recipe_item_material_straw,Straw,3,7,1.2,,skill_building\recipe_item_material_straw.csv
skill_building,recipe_item_material_wood_beams,Wooden Beam,0,5,1.1,,skill_building\recipe_item_material_wood_beams.csv
skill_building,recipe_item_material_wood_beams_fine,Fine Wood Beam,7,17,1.7,,skill_building\recipe_item_material_wood_beams_fine.csv
skill_building,recipe_item_material_wood_long_stock,Long Wood Stock,0,6,1.1,,skill_building\recipe_item_material_wood_long_stock.csv
skill_building,recipe_item_material_wood_long_stock_fine,Long Fine Wood Stock,10,23,2.2,,skill_building\recipe_item_material_wood_long_stock_fine.csv
skill_building,recipe_item_material_wood_planks,Plank,0,3,1.0,,skill_building\recipe_item_material_wood_planks.csv
skill_building,recipe_item_material_wood_planks_fine,Fine Wooden Plank,8,19,1.9,,skill_building\recipe_item_material_wood_planks_fine.csv
skill_fletching,recipe_projectile_bronze_head_arrow,Bronze Tipped Arrow,3,7,1.2,,skill_fletching\recipe_projectile_bronze_head_arrow.csv
skill_fletching,recipe_projectile_flint_head_arrow,Flinthead Arrow,2,5,1.1,,skill_fletching\recipe_projectile_flint_head_arrow.csv
skill_fletching,recipe_projectile_iron_head_arrow,Iron Tipped Arrow,4,9,1.3,,skill_fletching\recipe_projectile_iron_head_arrow.csv
skill_fletching,recipe_projectile_silver_head_arrow,Silver Tipped Arrow,16,30,3.0,,skill_fletching\recipe_projectile_silver_head_arrow.csv
skill_fletching,recipe_projectile_steel_head_arrow,Steelhead Arrow,17,31,3.1,,skill_fletching\recipe_projectile_steel_head_arrow.csv
skill_fletching,recipe_projectile_wood_arrow,Wooden Arrow,0,2,1.0,,skill_fletching\recipe_projectile_wood_arrow.csv
skill_fletching,recipe_projectile_wrought_iron_head_arrow,Wrought Iron Tipped Arrow,6,14,1.6,,skill_fletching\recipe_projectile_wrought_iron_head_arrow.csv
skill_baking,recipe_item_material_dough_rye,Rye Dough,0,3,1.1,,skill_baking\recipe_item_material_dough_rye.csv
skill_baking,recipe_item_material_dough_wheat,Wheat Dough,9,21,2.2,,skill_baking\recipe_item_material_dough_wheat.csv
skill_baking,recipe_item_material_dough_barley,Barley Dough,0,6,1.2,,skill_baking\recipe_item_material_dough_barley.csv
skill_baking,recipe_item_material_dough_oat,Oat Dough,6,13,1.6,,skill_baking\recipe_item_material_dough_oat.csv
skill_cooking,recipe_activatable_drink_barley_water_staminaregen_3,Barley Water,0,4,1.1,,skill_cooking\recipe_activatable_drink_barley_water_staminaregen_3.csv
skill_cooking,recipe_activatable_drink_barley_water_staminaregen_15,Amber Barley Water,3,7,1.3,,skill_cooking\recipe_activatable_drink_barley_water_staminaregen_15.csv
skill_cooking,recipe_activatable_drink_barley_water_staminaregen_23,Golden Barley Water,5,11,1.5,,skill_cooking\recipe_activatable_drink_barley_water_staminaregen_23.csv
skill_cooking,recipe_activatable_drink_herbal_tea_hpregen_1,Dandelion Herb Infusion,9,22,2.3,,skill_cooking\recipe_activatable_drink_herbal_tea_hpregen_1.csv
skill_cooking,recipe_activatable_drink_herbal_tea_maxhp_4,Fennel Tea,13,26,2.7,,skill_cooking\recipe_activatable_drink_herbal_tea_maxhp_4.csv
skill_cooking,recipe_activatable_drink_herbal_tea_maxhp_9,Rosemary Tea,17,31,3.3,,skill_cooking\recipe_activatable_drink_herbal_tea_maxhp_9.csv
skill_cooking,recipe_activatable_drink_herbal_tea_hpregen_12,Garlic Tea,20,35,3.9,,skill_cooking\recipe_activatable_drink_herbal_tea_hpregen_12.csv
skill_cooking,recipe_activatable_drink_sirup_hpregen_6,Blueberry Syrup,6,14,1.6,,skill_cooking\recipe_activatable_drink_sirup_hpregen_6.csv
skill_cooking,recipe_activatable_drink_sirup_hpregen_13,Raspberry Syrup,8,18,1.9,,skill_cooking\recipe_activatable_drink_sirup_hpregen_13.csv
skill_cooking,recipe_activatable_drink_sirup_hpregen_20,Strawberry Syrup,10,23,2.3,,skill_cooking\recipe_activatable_drink_sirup_hpregen_20.csv
skill_cooking,recipe_activatable_drink_sirup_hpregen_33,Red Currant Syrup,14,28,2.8,,skill_cooking\recipe_activatable_drink_sirup_hpregen_33.csv
skill_cooking,recipe_activatable_drink_sirup_staminaregen_35,Blackberry Syrup,20,34,3.5,,skill_cooking\recipe_activatable_drink_sirup_staminaregen_35.csv
skill_cooking,recipe_activatable_drink_sirup_hpregen_44,Elderberry Syrup,23,38,4.1,,skill_cooking\recipe_activatable_drink_sirup_hpregen_44.csv
skill_cooking,recipe_activatable_foodcooked_porridge_hpregen_27,Plain Barley Porridge,13,27,2.9,,skill_cooking\recipe_activatable_foodcooked_porridge_hpregen_27.csv
skill_cooking,recipe_activatable_foodcooked_porridge_resistancebuff_31,Golden Porridge,18,32,3.6,,skill_cooking\recipe_activatable_foodcooked_porridge_resistancebuff_31.csv
skill_cooking,recipe_activatable_foodcooked_porridge_resistancebuff_45,Dressed up Porridge,22,37,4.6,,skill_cooking\recipe_activatable_foodcooked_porridge_resistancebuff_45.csv
skill_cooking,recipe_activatable_foodcooked_raisins_staminaregen_6,Raisins,19,33,3.2,,skill_cooking\recipe_activatable_foodcooked_raisins_staminaregen_6.csv
skill_cooking,recipe_activatable_foodcooked_stew_staminaregen_12,Basic Stew,7,16,1.9,,skill_cooking\recipe_activatable_foodcooked_stew_staminaregen_12.csv
skill_cooking,recipe_activatable_foodcooked_stew_resistancebuff_17,Homely Stew,9,21,2.3,,skill_cooking\recipe_activatable_foodcooked_stew_resistancebuff_17.csv
skill_cooking,recipe_activatable_foodcooked_stew_resistancebuff_29,Shank Stew,12,25,2.7,,skill_cooking\recipe_activatable_foodcooked_stew_resistancebuff_29.csv
skill_cooking,recipe_activatable_foodcooked_stew_staminaregen_32,Fatty Boar Stew,16,30,3.3,,skill_cooking\recipe_activatable_foodcooked_stew_staminaregen_32.csv
skill_cooking,recipe_activatable_foodcooked_stew_staminaregen_39,Bear Stew,21,36,4.4,,skill_cooking\recipe_activatable_foodcooked_stew_staminaregen_39.csv
skill_cooking,recipe_activatable_foodcooked_vegetable_stew_maxstamina_2,Bleak Boiled Veggies,6,12,1.6,,skill_cooking\recipe_activatable_foodcooked_vegetable_stew_maxstamina_2.csv
skill_cooking,recipe_activatable_foodcooked_vegetable_stew_maxstamina_8,Springtime Stew,7,15,1.9,,skill_cooking\recipe_activatable_foodcooked_vegetable_stew_maxstamina_8.csv
skill_cooking,recipe_activatable_foodcooked_vegetable_stew_staminaregen_11,Vegetable Stew,8,19,2.2,,skill_cooking\recipe_activatable_foodcooked_vegetable_stew_staminaregen_11.csv
skill_cooking,recipe_activatable_foodcooked_vegetable_stew_staminaregen_21,Mushroom and Vegetable Stew,11,24,2.7,,skill_cooking\recipe_activatable_foodcooked_vegetable_stew_staminaregen_21.csv
skill_cooking,recipe_activatable_foodcooked_vegetable_stew_maxstamina_26,Roasted Cabbage Stew,15,29,3.3,,skill_cooking\recipe_activatable_foodcooked_vegetable_stew_maxstamina_26.csv
skill_alchemy,recipe_activatable_potion_arcance_resistance_very_small_16,Fire Resistance I,0,13,1.6,,skill_alchemy\recipe_activatable_potion_arcance_resistance_very_small_16.csv
skill_alchemy,recipe_activatable_potion_arcance_resistance_very_small_23,Poison Resistance I,0,16,1.8,,skill_alchemy\recipe_activatable_potion_arcance_resistance_very_small_23.csv
skill_alchemy,recipe_activatable_potion_arcance_resistance_very_small_30,Cold Resistance I,0,19,2.1,,skill_alchemy\recipe_activatable_potion_arcance_resistance_very_small_30.csv
skill_alchemy,recipe_activatable_potion_arcance_resistance_small_39,Steady Mind I,0,22,2.3,,skill_alchemy\recipe_activatable_potion_arcance_resistance_small_39.csv
skill_alchemy,recipe_activatable_potion_arcance_resistance_small_43,Fire Resistance II,0,25,2.6,,skill_alchemy\recipe_activatable_potion_arcance_resistance_small_43.csv
skill_alchemy,recipe_activatable_potion_arcance_resistance_small_52,Poison Resistance II,0,28,2.9,,skill_alchemy\recipe_activatable_potion_arcance_resistance_small_52.csv
skill_alchemy,recipe_activatable_potion_arcance_resistance_medium_60,Cold Resistance II,0,32,3.4,,skill_alchemy\recipe_activatable_potion_arcance_resistance_medium_60.csv
skill_alchemy,recipe_activatable_potion_arcance_resistance_medium_68,Steady Mind II,0,35,3.9,,skill_alchemy\recipe_activatable_potion_arcance_resistance_medium_68.csv
skill_alchemy,recipe_activatable_potion_arcance_resistance_medium_76,Fire Resistance III,0,38,4.3,,skill_alchemy\recipe_activatable_potion_arcance_resistance_medium_76.csv
